id	format	input	expected	metadata_expected	assets_expected	description	tags
complex_docx_technical_whitepaper	docx	samples/real_world/input/docx/complex_docx_technical_whitepaper.docx	samples/real_world/expected/docx/complex_docx_technical_whitepaper.md	samples/real_world/metadata_expected/docx/complex_docx_technical_whitepaper.metadata.json	refs_exist	long-form DOCX technical whitepaper with repeated figures, tables, nested lists, hyperlinks, code, and text boxes	complex,longform,scenario,docx,whitepaper,table,image,list,code
complex_docx_review_feedback_packet	docx	samples/real_world/input/docx/complex_docx_review_feedback_packet.docx	samples/real_world/expected/docx/complex_docx_review_feedback_packet.md	samples/real_world/metadata_expected/docx/complex_docx_review_feedback_packet.metadata.json		annotated DOCX review packet with dense footnotes and reviewer comments	complex,scenario,stress,docx,review,footnotes,comments
complex_pptx_investor_product_deck	pptx	samples/real_world/input/pptx/complex_pptx_investor_product_deck.pptx	samples/real_world/expected/pptx/complex_pptx_investor_product_deck.md	samples/real_world/metadata_expected/pptx/complex_pptx_investor_product_deck.metadata.json	refs_exist	multi-slide PPTX investor-style deck combining bullets, notes, cards, tables, links, hidden slides, and an image appendix	complex,longform,scenario,pptx,deck,notes,table,image,hidden-slide
complex_xlsx_financial_operations_workbook	xlsx	samples/real_world/input/xlsx/complex_xlsx_financial_operations_workbook.xlsx	samples/real_world/expected/xlsx/complex_xlsx_financial_operations_workbook.md	samples/real_world/metadata_expected/xlsx/complex_xlsx_financial_operations_workbook.metadata.json		multi-sheet workbook with overview and large operational tables across several sheets	complex,longform,scenario,xlsx,workbook,multi-sheet,table
complex_xlsx_formula_audit_workbook	xlsx	samples/real_world/input/xlsx/complex_xlsx_formula_audit_workbook.xlsx	samples/real_world/expected/xlsx/complex_xlsx_formula_audit_workbook.md	samples/real_world/metadata_expected/xlsx/complex_xlsx_formula_audit_workbook.metadata.json		formula-audit workbook with many lightweight-evaluable missing-cache rows	complex,scenario,stress,xlsx,formula,audit,evaluation
complex_xlsx_merged_sparse_assumptions_workbook	xlsx	samples/real_world/input/xlsx/complex_xlsx_merged_sparse_assumptions_workbook.xlsx	samples/real_world/expected/xlsx/complex_xlsx_merged_sparse_assumptions_workbook.md	samples/real_world/metadata_expected/xlsx/complex_xlsx_merged_sparse_assumptions_workbook.metadata.json		merged-cell and sparse-coverage workbook for assumption-policy review	complex,scenario,stress,xlsx,merged,sparse,policy
complex_pdf_text_whitepaper	pdf	samples/real_world/input/pdf/complex_pdf_text_whitepaper.pdf	samples/real_world/expected/pdf/complex_pdf_text_whitepaper.md	samples/real_world/metadata_expected/pdf/complex_pdf_text_whitepaper.metadata.json		long text-PDF whitepaper composed from heading cleanup, cross-page merge, link, table, and boundary pages	complex,longform,scenario,pdf,text,table,link,noise
complex_html_documentation_site_page	html	samples/real_world/input/html/complex_html_documentation_site_page.html	samples/real_world/expected/html/complex_html_documentation_site_page.md	samples/real_world/metadata_expected/html/complex_html_documentation_site_page.metadata.json	refs_exist	long-form documentation site page with repeated navigation, callouts, tables, code blocks, local figures, and unsafe-link boundaries	complex,longform,scenario,html,documentation,table,code,image,unsafe-link
complex_epub_training_manual	epub	samples/real_world/input/epub/complex_epub_training_manual.epub	samples/real_world/expected/epub/complex_epub_training_manual.md	samples/real_world/metadata_expected/epub/complex_epub_training_manual.metadata.json	refs_exist	multi-chapter EPUB training manual with cover, nav, NCX, tables, lists, and anchored references	complex,longform,scenario,epub,manual,nav,image,table
complex_zip_project_export	zip	samples/real_world/input/zip/complex_zip_project_export.zip	samples/real_world/expected/zip/complex_zip_project_export.md	samples/real_world/metadata_expected/zip/complex_zip_project_export.metadata.json	refs_exist	project export ZIP with nested DOCX, PPTX, XLSX, HTML, data files, hidden entries, unsupported binary, and nested archive boundary	complex,longform,scenario,zip,project,bundle,assets,nested
complex_zip_structured_data_bundle	zip	samples/real_world/input/zip/complex_zip_structured_data_bundle.zip	samples/real_world/expected/zip/complex_zip_structured_data_bundle.md	samples/real_world/metadata_expected/zip/complex_zip_structured_data_bundle.metadata.json		structured-data ZIP bundle with CSV, TSV, JSON, YAML, XML, Markdown, plain text, and nested archive boundary	complex,scenario,stress,zip,structured,csv,json,yaml,xml
