format	path	bytes	sha256	source_type	source_url	license	license_file	derivation	review_status
txt	txt/rfc3986.txt	141811	3102dae4b68cebe40337730312fcb612297b8928547267e8b3d1ee6002b2d683	direct	https://www.rfc-editor.org/rfc/rfc3986.txt	IETF-Trust-TLP	txt/licenses/IETF-Trust-Legal-Provisions.html	none	approved
csv	csv/usgs-all-day.csv	48909	2072834729c007ff88cc3b7dcc1096c846696e96397feb05fa0e44d5376dc070	dynamic_snapshot	https://earthquake.usgs.gov/earthquakes/feed/v1.0/summary/all_day.csv	US-Public-Domain	csv/licenses/EXTERNAL-BENCH-PROVENANCE.md	fetched 2026-07-12; upstream feed changes continuously	approved
tsv	tsv/uniprot-human-reviewed.tsv	33908	7629a3d029a8e06fe9b289370dc9d44f2665053adb379426bbde0759229e192a	dynamic_snapshot	https://rest.uniprot.org/uniprotkb/search?format=tsv&fields=accession,id,protein_name,organism_name,length&size=200&query=%28reviewed%3Atrue%29%20AND%20%28organism_id%3A9606%29	CC-BY-4.0	tsv/licenses/CC-BY-4.0.html	fetched 2026-07-12; 200 reviewed human protein records	approved
srt	srt/tears-of-steel-en.srt	4764	ce9578f6fe098a5821045a38884b229160f9e7ba27890448a92f5be330c6e6fe	direct	https://download.blender.org/demo/movies/ToS/subtitles/TOS-en.srt	CC-BY-3.0	srt/licenses/Tears-of-Steel-About-License.html;srt/licenses/CC-BY-3.0.html	none	approved
vtt	vtt/tears-of-steel-en.vtt	4459	c16058738d1e1edce03621a6ccb491cbd967e10bcf80a53d32d34246687f099c	derived	https://download.blender.org/demo/movies/ToS/subtitles/TOS-en.srt	CC-BY-3.0	vtt/licenses/Tears-of-Steel-About-License.html;vtt/licenses/CC-BY-3.0.html	SRT timing commas converted to WebVTT dots; WEBVTT header added	approved
json	json/spdx-licenses.json	333752	c5a51836621ec723afcce3ff5728fd35653d806ca1086ee69f0fa9df28943d9c	audited_snapshot	https://github.com/spdx/license-list-data/blob/main/json/licenses.json	CC0-1.0	json/licenses/CC0-1.0.html;json/licenses/EXTERNAL-BENCH-PROVENANCE.md	promoted from quality-lab audited benchmark snapshot	approved
jsonl	jsonl/usgs-earthquakes.jsonl	108021	e87b2e26821a21f7bd7d72db5e648d68a08c5e010e5647c172e3dfd9b06df4c0	derived	https://earthquake.usgs.gov/earthquakes/feed/v1.0/summary/all_day.csv	US-Public-Domain	jsonl/licenses/EXTERNAL-BENCH-PROVENANCE.md	one compact JSON object per CSV record; built by build_derived.py	approved
ndjson	ndjson/usgs-earthquakes.ndjson	108021	e87b2e26821a21f7bd7d72db5e648d68a08c5e010e5647c172e3dfd9b06df4c0	derived	https://earthquake.usgs.gov/earthquakes/feed/v1.0/summary/all_day.csv	US-Public-Domain	ndjson/licenses/EXTERNAL-BENCH-PROVENANCE.md	byte-identical NDJSON extension view of derived JSON Lines records	approved
yaml	yaml/swagger-petstore.yaml	23156	0d810997f6409d5cff6f0cf2c1466814ba52250a784cd841cacb93514c7a8502	audited_snapshot	https://github.com/swagger-api/swagger-petstore/blob/master/src/main/resources/openapi.yaml	Apache-2.0	yaml/licenses/Apache-2.0-Swagger-Petstore.txt	promoted from quality-lab audited benchmark snapshot	approved
toml	toml/pydantic-pyproject.toml	9085	8375abce73bfeab0ffd54df6934079380acab1fe0aac515b211c8f307cb53782	direct	https://raw.githubusercontent.com/pydantic/pydantic/main/pyproject.toml	MIT	toml/licenses/MIT-pydantic.txt	none	approved
xml	xml/usgs-earthquakes.xml	169034	d0a063a22e34df728fed007846408e6d044256752ce6604db213fcf02ff3d209	derived	https://earthquake.usgs.gov/earthquakes/feed/v1.0/summary/all_day.csv	US-Public-Domain	xml/licenses/EXTERNAL-BENCH-PROVENANCE.md	CSV records mapped to earthquake elements; built by build_derived.py	approved
html	html/wcag22.html	512457	6e3c5fe397257cae509a2fb4752b73062cf8cbeb92c2cec618989b17e4cf7057	audited_snapshot	https://www.w3.org/TR/WCAG22/	W3C-Document-License-2023	html/licenses/W3C-Document-License.html	promoted from quality-lab audited benchmark snapshot	approved
markdown	markdown/pandas-readme.md	11348	5c63b18d017b2200be7474166621177a311f461a9a5cf15813b865bacb4f2b9b	audited_snapshot	https://github.com/pandas-dev/pandas/blob/main/README.md	BSD-3-Clause	markdown/licenses/BSD-3-Clause-pandas.txt	promoted from quality-lab approved source cache	approved
ipynb	ipynb/jupyter-markdown-tutorial.ipynb	42817	21c27aabbd9ce89397929b28dc73b3f42ce47783239aa5f8d1a6853db65ba050	audited_snapshot	https://github.com/jupyter/notebook/blob/main/docs/source/examples/Notebook/Working%20With%20Markdown%20Cells.ipynb	BSD-3-Clause	ipynb/licenses/BSD-3-Clause-nbformat.txt	promoted from quality-lab approved source cache	approved
eml	eml/rfc3986-review.eml	146163	7cf700911c562f5c22dd9a06ef78f6ad77132c8fb18ea371db4e0cc830bd2c64	derived	https://www.rfc-editor.org/rfc/rfc3986.txt	Apache-2.0-wrapper;IETF-Trust-TLP	eml/licenses/IETF-Trust-Legal-Provisions.html	project-authored multipart review message with complete RFC attachment; fixed MIME boundary; built by build_derived.py	approved
