id	format	path	source_type	license_status	privacy	size_class	features	expected_signals	quality_tier	notes
pdf_heading_basic_repo_sample	pdf	samples/main_process/pdf/heading_basic.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;heading;page_noise;repo_sample	no_empty_output;contains_all:# 第一章 项目概述|## 1.1 研究目标|# 第二章 技术路线;order:# 第一章 项目概述|本项目旨在将常见办公文档转换为结构化 Markdown。|## 1.1 研究目标|实现 docx、pdf、xlsx、pptx、html 到 Markdown 的统一转换。|# 第二章 技术路线|系统采用统一 IR 作为中间表示。;exact_count:# 第一章 项目概述=1;exact_count:## 1.1 研究目标=1;exact_count:# 第二章 技术路线=1	reference	Checked-in repo PDF sample guarding heading retention and page-noise suppression in the native text path
pdf_cross_page_merge_repo_sample	pdf	samples/main_process/pdf/pdf_cross_page_should_merge_phase15.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;cross_page;paragraph_merge;repo_sample	no_empty_output;contains_all:# Cross-page should merge|This paragraph is intentionally broken at the end of page one|Final sentence ends here.;exact_count:# Cross-page should merge=1;exact_count:This paragraph is intentionally broken at the end of page one and should continue without opening a new semantic block on next page because the sentence has not ended yet and still keeps flow with a lowercase starter that semantically continues previous text. Final sentence ends here.=1;not_contains:should continue without opening a new semantic block on next page\n\nbecause	reference	Checked-in repo PDF sample guarding conservative cross-page paragraph merge after pruning
pdf_cross_page_no_merge_repo_sample	pdf	samples/main_process/pdf/pdf_cross_page_should_not_merge_phase15.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;cross_page;no_merge;repo_sample	no_empty_output;contains_all:# Cross-page should NOT merge|## page 2 new section|1. New section starts here and must remain separated.;order:# Cross-page should NOT merge|This section ends cleanly here. The next page starts a new numbered topic.|## page 2 new section|1. New section starts here and must remain separated. This block should not be attached to previous page paragraph.;exact_count:## page 2 new section=1	reference	Checked-in repo PDF sample guarding that a new section on the next page does not collapse into the prior paragraph
pdf_two_column_negative_repo_sample	pdf	samples/main_process/pdf/pdf_two_column_negative_phase15.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;two_column;reading_order;repo_sample	no_empty_output;contains_all:# Pseudo two-column negative sample|LEFT-A1 This paragraph belongs to the left column only.|RIGHT-B4 End of right column block.;order:LEFT-A1 This paragraph belongs to the left column only.|RIGHT-B1 This paragraph is independent on the right side.|LEFT-A2 It should stay before LEFT-A3 and LEFT-A4.|RIGHT-B2 It should not merge into LEFT-A4.|LEFT-A3 Do not stitch with RIGHT-B1 lines.|RIGHT-B3 Keep local order inside right column.|LEFT-A4 End of left column block.|RIGHT-B4 End of right column block.;exact_count:LEFT-A1 This paragraph belongs to the left column only.=1;exact_count:RIGHT-B1 This paragraph is independent on the right side.=1;exact_count:LEFT-A4 End of left column block.=1;exact_count:RIGHT-B4 End of right column block.=1	reference	Checked-in repo PDF sample guarding current pseudo-two-column reading order without cross-column stitching
pdf_image_caption_repo_sample	pdf	samples/main_process/pdf/pdf_image_caption_like.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;image;caption;asset;repo_sample	no_empty_output;contains_all:![image](assets/image01.jpg)|Figure 1. PDF caption;image_ref;asset_count_min:1;order:![image](assets/image01.jpg)|Figure 1. PDF caption;exact_count:Figure 1. PDF caption=1	reference	Checked-in repo PDF sample guarding local asset materialization and nearby caption pairing
pdf_repeated_header_footer_repo_sample	pdf	samples/main_process/pdf/pdf_repeated_header_footer.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;page_noise;header_footer;repo_sample	no_empty_output;contains_all:This is the first page body. It should remain after cleanup.|This is the second page body. The repeated header and footer should be removed.;order:This is the first page body. It should remain after cleanup.|This is the second page body. The repeated header and footer should be removed.;not_contains:Confidential Footer - Do Not Distribute	reference	Checked-in repo PDF sample guarding repeated header/footer cleanup without dropping the page bodies
pdf_header_footer_variants_repo_sample	pdf	samples/main_process/pdf/pdf_header_footer_variants_phase15.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;header_footer;page_noise;repo_sample	no_empty_output;contains_all:# Body paragraph page 1|## Body paragraph page 2|## Body paragraph page 3|The core text should be preserved while noisy repeat lines are filtered.;order:# Body paragraph page 1|The core text should be preserved while noisy repeat lines are filtered.|## Body paragraph page 2|## Body paragraph page 3;exact_count:# Body paragraph page 1=1;exact_count:## Body paragraph page 2=1;exact_count:## Body paragraph page 3=1;not_contains:Confidential Header;not_contains:Confidential Footer - Do Not Distribute	reference	Checked-in repo PDF sample guarding repeated header/footer variant suppression while preserving the page body flow
pdf_heading_false_positive_repo_sample	pdf	samples/main_process/pdf/pdf_heading_false_positive_phase15.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;heading;false_positive;repo_sample	no_empty_output;contains_all:# Heading false-positive negative|OK|ALL CAPS SENTENCE BUT ACTUALLY BODY TEXT, NOT A TITLE.|Q4 RESULTS REMAIN STABLE ACROSS THE SAME METHOD.|This is the real paragraph continuation after short/noisy lead lines.;order:OK|ALL CAPS SENTENCE BUT ACTUALLY BODY TEXT, NOT A TITLE.|1. this is a numbered sentence inside paragraph context.|2) another numbered item that should not force heading level.|Q4 RESULTS REMAIN STABLE ACROSS THE SAME METHOD.|This is the real paragraph continuation after short/noisy lead lines.;exact_count:ALL CAPS SENTENCE BUT ACTUALLY BODY TEXT, NOT A TITLE.=1;exact_count:Q4 RESULTS REMAIN STABLE ACROSS THE SAME METHOD.=1;exact_count:This is the real paragraph continuation after short/noisy lead lines.=1;not_contains:## OK;not_contains:## ALL CAPS SENTENCE BUT ACTUALLY BODY TEXT, NOT A TITLE.	reference	Checked-in repo PDF sample guarding against false-positive heading promotion on short, all-caps, and numbered body lines
pdf_heading_vs_short_sentence_repo_sample	pdf	samples/main_process/pdf/pdf_heading_vs_short_sentence.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;heading;short_sentence;repo_sample	no_empty_output;contains_all:# Heading vs Short Sentence|## Introduction|This matters.|Figure 1. System overview.|## Method|In conclusion,|This final paragraph should remain a normal paragraph instead of being promoted to a heading.;order:## Introduction|This matters.|Figure 1. System overview.|## Method|Key points:|In conclusion,|This final paragraph should remain a normal paragraph instead of being promoted to a heading.;exact_count:This matters.=1;exact_count:Figure 1. System overview.=1;exact_count:In conclusion,=1;not_contains:### This matters.;not_contains:### In conclusion,	reference	Checked-in repo PDF sample guarding that true headings stay promoted while short sentences and figure labels remain paragraph text
pdf_uri_link_basic_repo_sample	pdf	samples/main_process/pdf/pdf_uri_link_basic.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;link;uri;repo_sample	no_empty_output;exact_count:[Visit the example website for details.](https://example.com)=1;not_contains:rId;not_contains:/URI;not_contains:https://example.com)](https://example.com)	reference	Checked-in repo PDF sample guarding canonical markdown URI link emission without leaking raw annotation noise
